12.0,electric_rat,3.0,13.0,random_events
12.0,ice agouti,10.0,10.0,grassland
13.0,Ye Ni Ni (Special),2.0,14.0,islands
13.0,Ye NiNi,2.0,14.0,islands
14.0,Tamamo fox,3.0,13.0,grassland
15.0,Tikar,3.0,14.0,grassland
16.0,pot elephant,1.0,13.0,islands
17.0,Look at the devil,3.0,14.0,grassland
18.0,Miruffy,2.0,14.0,grassland
19.0,sleep demon,3.0,15.0,islands
20.0,sage pig,2.0,13.0,grassland
21.0,Lunati,3.0,19.0,islands
22.0,Escape Rat,5.0,40.0,grassland
23.0,squid,5.0,13.0,islands
24.0,ice cream,30.0,45.0,islands
24.0,Meowster,5.0,15.0,dungeon
25.0,Rumiel,2.0,13.0,dungeon
26.0,hunting wolves,4.0,15.0,Snow
27.0,Fried egg bird,11.0,40.0,dungeon
28.0,Bona Rabbit,10.0,29.0,grassland
29.0,Boba Cow,10.0,19.0,islands
30.0,Thorn Fairy,16.0,29.0,grassland
31.0,Sharkboy,20.0,29.0,Random events
31.0,red shark,25.0,38.0,grassland
32.0,Hanging spirit,14.0,40.0,forest
32.0,Icebound Spirit,33.0,35.0,volcano
33.0,Ye Panda,25.0,29.0,forest
33.0,Lei Panda,31.0,37.0,Snow
34.0,Marshmallow,14.0,19.0,dungeon
35.0,bush sheep,6.0,41.0,grassland
36.0,Melupa,5.0,17.0,forest
37.0,Only a deer,18.0,22.0,grassland
37.0,Zixia Deer,6.0,13.0,grassland
38.0,Swift Falcon,9.0,40.0,dungeon
39.0,Ji Xiaotu,2.0,19.0,dungeon
40.0,Dark Demon Sheep,40.0,45.0,grassland
40.0,Balrog Sheep,29.0,38.0,game reserve
41.0,Huan Yue Butterfly,18.0,29.0,dungeon
42.0,Blazing Ox,9.0,39.0,grassland
43.0,Pa Pa Pa Catfish,14.0,38.0,islands
44.0,Black Crow Hermit,12.0,40.0,game reserve
45.0,Hot-blooded lizard,15.0,38.0,volcano
45.0,punk lizard,29.0,40.0,forest
46.0,Moonscythe Demon,12.0,29.0,grassland
47.0,Tianqinniao,9.0,29.0,dungeon
48.0,Feather Archer,21.0,29.0,grassland
48.0,mountain shooter,30.0,40.0,grassland
49.0,Iron Fist Ape,18.0,29.0,volcano
50.0,knight bee,20.0,25.0,volcano
51.0,queen bee,28.0,31.0,grassland
52.0,Laughing Nightmare Cat,17.0,29.0,grassland
53.0,Mao duster,7.0,27.0,desert
54.0,Dad Mao,11.0,32.0,Random events
55.0,Whirling Weasel,11.0,45.0,Random events
56.0,thunder wildebeest,7.0,31.0,dungeon
57.0,blowing snow fox,28.0,32.0,forest
58.0,fire unicorn,29.0,38.0,forest
58.0,evil unicorn,32.0,38.0,grassland
59.0,Deer in severe winter,25.0,45.0,grassland
60.0,thunder dog,30.0,40.0,grassland
61.0,Blue Flame Wolf,28.0,32.0,grassland
62.0,Thunder Boy,29.0,40.0,grassland
63.0,Mystia,32.0,45.0,forest snow
64.0,Thunder Guanlong,35.0,47.0,volcano
64.0,Corolla dragon,10.0,39.0,grassland
65.0,water-sliding snake,14.0,26.0,dungeon
65.0,quicksand snake,30.0,40.0,forest snow
66.0,Soul Eater,36.0,45.0,desert
67.0,Rock Crusher Turtle,17.0,40.0,forest snow
68.0,cat bat monster,5.0,45.0,desert
69.0,fraternity lizard,18.0,40.0,grassland
70.0,Rong Yan Niang,9.0,38.0,dungeon
71.0,Fenggelong,10.0,40.0,desert
71.0,Frost Song Dragon,36.0,45.0,desert
72.0,Wave Blade Samurai,23.0,45.0,dungeon
73.0,Thunderbird,29.0,40.0,Snow
74.0,Flamingo,34.0,38.0,dungeon
75.0,dark witch cat,20.0,29.0,islands
76.0,Flame Witch Fox,16.0,38.0,grassland
77.0,spring rabbit,35.0,45.0,volcano
78.0,Verita,18.0,38.0,grassland
79.0,silk moth,36.0,45.0,Snow
80.0,Faerie Dragon,18.0,45.0,grassland
81.0,Huo Linger,9.0,38.0,grassland
81.0,Shui Linger,9.0,19.0,volcano
82.0,Bihailong,17.0,22.0,dungeon
83.0,Ice Thorn Beast,36.0,45.0,volcano
84.0,Hell King,33.0,38.0,forest
84.0,Hellfire King,34.0,38.0,game reserve
85.0,Pecorone,15.0,20.0,Snow
85.0,Parker,31.0,31.0,game reserve
86.0,Allother,30.0,30.0,grassland
86.0,Lian Lilong,17.0,23.0,volcano
87.0,Hualina,18.0,28.0,grassland
88.0,Frost Beast,42.0,45.0,Snow
88.0,Lava Beast,34.0,38.0,volcano
89.0,King Melupa,23.0,45.0,volcano
89.0,Ice Emperor Melpa,46.0,46.0,grassland
90.0,snow mammoth,41.0,45.0,grassland
90.0,Mammoth,30.0,40.0,grassland
91.0,Green Moss Velvet,38.0,45.0,grassland
91.0,White Velvet Snow Monster,41.0,45.0,game reserve
92.0,Kaigres,30.0,45.0,dungeon
93.0,Cloud sea deer,15.0,45.0,dungeon
94.0,Night Mephit,20.0,31.0,volcano
95.0,Tianyulong,23.0,45.0,Snow
96.0,Flame Glory,40.0,49.0,grassland
97.0,Thunderbird,24.0,28.0,islands
98.0,Demon Dragon,40.0,48.0,Snow
99.0,Dark Armored Scorpion,40.0,45.0,Snow
100.0,Anubis,47.0,47.0,grassland
101.0,Sea-covering dragon,45.0,45.0,forest
